2019-12-25 00:23:11.704 [main] INFO  - §c3 seconds left to cleaning items on the ground, animals and mobs!
2019-12-25 00:23:12.704 [main] INFO  - §c2 seconds left to cleaning items on the ground, animals and mobs!
2019-12-25 00:23:13.704 [main] INFO  - §c1 second left to cleaning items on the ground, animals and mobs!
2019-12-25 00:23:14.704 [main] INFO  - §cItems on the ground, animals and mobs deleted!
2019-12-25 00:25:14.653 [Nukkit Asynchronous Task Handler #2] INFO  - [§eSRegionProtector§f] §aRemoved 0 empty chunks.
2019-12-25 00:25:14.654 [pool-4-thread-1] INFO  - [§eSRegionProtector§f] §aStarting auto save...
2019-12-25 00:25:14.668 [pool-4-thread-1] INFO  - [§eSRegionProtector§f] §a0 regions was automatically saved
2019-12-25 00:28:09.704 [main] INFO  - §c5 seconds left to cleaning items on the ground, animals and mobs!
2019-12-25 00:28:10.704 [main] INFO  - §c4 seconds left to cleaning items on the ground, animals and mobs!
2019-12-25 00:28:11.704 [main] INFO  - §c3 seconds left to cleaning items on the ground, animals and mobs!
2019-12-25 00:28:12.704 [main] INFO  - §c2 seconds left to cleaning items on the ground, animals and mobs!
2019-12-25 00:28:13.704 [main] INFO  - §c1 second left to cleaning items on the ground, animals and mobs!
2019-12-25 00:28:14.704 [main] INFO  - §cItems on the ground, animals and mobs deleted!
2019-12-25 00:31:14.654 [Nukkit Asynchronous Task Handler #3] INFO  - [§eSRegionProtector§f] §aRemoved 0 empty chunks.
2019-12-25 00:31:14.654 [pool-4-thread-1] INFO  - [§eSRegionProtector§f] §aStarting auto save...
2019-12-25 00:31:14.660 [pool-4-thread-1] INFO  - [§eSRegionProtector§f] §a0 regions was automatically saved
2019-12-25 00:33:09.704 [main] INFO  - §c5 seconds left to cleaning items on the ground, animals and mobs!
2019-12-25 00:33:10.704 [main] INFO  - §c4 seconds left to cleaning items on the ground, animals and mobs!
2019-12-25 00:33:11.704 [main] INFO  - §c3 seconds left to cleaning items on the ground, animals and mobs!
2019-12-25 00:33:12.704 [main] INFO  - §c2 seconds left to cleaning items on the ground, animals and mobs!
2019-12-25 00:33:13.704 [main] INFO  - §c1 second left to cleaning items on the ground, animals and mobs!
2019-12-25 00:33:14.704 [main] INFO  - §cItems on the ground, animals and mobs deleted!
2019-12-25 00:37:14.654 [Nukkit Asynchronous Task Handler #3] INFO  - [§eSRegionProtector§f] §aRemoved 0 empty chunks.
2019-12-25 00:37:14.654 [pool-4-thread-1] INFO  - [§eSRegionProtector§f] §aStarting auto save...
2019-12-25 00:37:14.660 [pool-4-thread-1] INFO  - [§eSRegionProtector§f] §a0 regions was automatically saved
2019-12-25 00:38:09.703 [main] INFO  - §c5 seconds left to cleaning items on the ground, animals and mobs!
2019-12-25 00:38:10.704 [main] INFO  - §c4 seconds left to cleaning items on the ground, animals and mobs!
2019-12-25 00:38:11.704 [main] INFO  - §c3 seconds left to cleaning items on the ground, animals and mobs!
