2019-12-23 23:49:47.225 [main] INFO  - Loading §anukkit.yml§f ...
2019-12-23 23:49:47.445 [main] INFO  - Loading §aserver.properties§f ...
2019-12-23 23:49:47.472 [main] INFO  - Selected English (eng) as the base language
2019-12-23 23:49:47.476 [main] INFO  - Starting Minecraft: BE server version §bv1.14.0§r
2019-12-23 23:49:47.495 [main] INFO  - Selected Zlib Provider: 2 (cn.nukkit.utils.ZlibThreadLocal)
2019-12-23 23:49:47.669 [main] INFO  - Opening server on 0.0.0.0:19132
2019-12-23 23:49:47.746 [main] INFO  - This server is running Nukkit version §egit-8088000§f "§b§f" (API 1.0.9)
2019-12-23 23:49:47.750 [main] INFO  - Nukkit is distributed under the LGPL License
2019-12-23 23:49:53.275 [main] INFO  - Loading recipes...
2019-12-23 23:49:55.207 [main] INFO  - Loaded 1320 recipes.
2019-12-23 23:49:55.215 [main] INFO  - Successfully loaded 0 resource packs
2019-12-23 23:49:55.349 [main] ERROR - Could not load plugin "DiscordChat": plugin exists
2019-12-23 23:49:55.489 [main] INFO  - Loading AutoCleaner v1.0.1
2019-12-23 23:49:55.515 [main] FATAL - Could not load plugin "BowHitAlert": Unknown dependency
2019-12-23 23:49:55.530 [main] INFO  - Loading CustomEnchantsNK v1.0.0-beta3
2019-12-23 23:49:55.562 [main] INFO  - Loading DiscordChat v1.1
2019-12-23 23:49:55.599 [main] INFO  - Loading EconomyAPI v2.0.1
2019-12-23 23:49:55.666 [main] INFO  - Loading EssentialsNK v1.8.0
2019-12-23 23:49:55.705 [main] INFO  - Loading Factions v1.7.0
2019-12-23 23:49:55.741 [main] INFO  - Loading FakeInventories v1.0.3
2019-12-23 23:49:55.741 [RakNet Thread #14] INFO  - Epoll Status is false
2019-12-23 23:49:55.775 [main] INFO  - Loading FastAsyncWorldEdit v19.03.29-d13b946-1257-22.0.14
2019-12-23 23:49:55.805 [main] INFO  - Loading MultiWorld v1.0
2019-12-23 23:49:55.830 [main] INFO  - Loading Pokkit v0.9.1
