2019-12-24 22:32:59.876 [main] INFO  - Loading §anukkit.yml§f ...
2019-12-24 22:33:00.251 [main] INFO  - Loading §aserver.properties§f ...
2019-12-24 22:33:00.283 [main] INFO  - Selected English (eng) as the base language
2019-12-24 22:33:00.315 [main] INFO  - Starting Minecraft: BE server version §bv1.14.0§r
2019-12-24 22:33:00.354 [main] INFO  - Selected Zlib Provider: 2 (cn.nukkit.utils.ZlibThreadLocal)
2019-12-24 22:33:00.651 [main] INFO  - Opening server on 0.0.0.0:19132
2019-12-24 22:33:00.822 [main] INFO  - This server is running Nukkit version §egit-8088000§f "§b§f" (API 1.0.9)
2019-12-24 22:33:00.832 [main] INFO  - Nukkit is distributed under the LGPL License
2019-12-24 22:33:04.834 [main] INFO  - Loading recipes...
2019-12-24 22:33:05.495 [main] INFO  - Loaded 1320 recipes.
2019-12-24 22:33:05.514 [main] INFO  - Successfully loaded 0 resource packs
2019-12-24 22:33:05.797 [main] INFO  - Loading AutoCleaner v1.0.1
2019-12-24 22:33:06.058 [main] INFO  - Loading CustomEnchantsNK v1.0.0-beta3
2019-12-24 22:33:06.115 [main] INFO  - Loading DiscordChat v2.0-beta
2019-12-24 22:33:06.125 [RakNet Thread #14] INFO  - Epoll Status is false
2019-12-24 22:33:06.154 [main] INFO  - Loading EconomyAPI v2.0.1
2019-12-24 22:33:06.334 [main] INFO  - Loading EconomyJob v1.0
2019-12-24 22:33:06.425 [main] INFO  - Loading EssentialsNK v1.8.0
2019-12-24 22:33:06.476 [main] INFO  - Loading Factions v1.7.0
2019-12-24 22:33:06.511 [main] INFO  - Loading FakeInventories v1.0.3
2019-12-24 22:33:06.546 [main] INFO  - Loading FastAsyncWorldEdit v19.03.29-d13b946-1257-22.0.14
2019-12-24 22:33:06.573 [main] INFO  - Loading GCape v2.2
2019-12-24 22:33:06.613 [main] INFO  - [GCape] Loading GCapes by G.M.
2019-12-24 22:33:06.763 [main] INFO  - Loading KotlinLib v1.1
2019-12-24 22:33:07.096 [main] INFO  - Loading LoveRTP v1
2019-12-24 22:33:07.363 [main] INFO  - Loading MultiWorld v1.0
2019-12-24 22:33:07.938 [main] INFO  - Loading Pets v1.3
2019-12-24 22:33:08.293 [main] INFO  - Loading PlaceholderAPI v1.3.1
2019-12-24 22:33:08.650 [main] INFO  - Loading Pokkit v0.9.1
2019-12-24 22:33:09.709 [main] INFO  - [Pokkit] This server is running Nukkit version v1.14.0 (Implementing API version 1.13.2-R0.1-SNAPSHOT)
2019-12-24 22:33:09.883 [main] INFO  - [Pokkit] Server permissions file C:\Users\Lemon\OneDrive\Documents\Music\Desktop\nukkit\plugins\Pokkit\permissions.yml is empty, ignoring it
2019-12-24 22:33:10.035 [main] INFO  - [Pokkit] [Vault] Enabling Vault v1.7.2-b107
2019-12-24 22:33:10.266 [main] INFO  - [Pokkit] [Vault] [Permission] SuperPermissions loaded as backup permission system.
2019-12-24 22:33:10.380 [main] INFO  - [Pokkit] [Vault] Enabled Version 1.7.2-b107
2019-12-24 22:33:10.388 [main] INFO  - Loading QuickSpawns v1.0
2019-12-24 22:33:10.403 [main] INFO  - [QuickSpawns] Loading QuickSpawns...
2019-12-24 22:33:10.413 [main] INFO  - Loading ReportSystem v1.0-SNAPSHOT
2019-12-24 22:33:10.435 [main] INFO  - Loading Scale v2.1
2019-12-24 22:33:10.451 [main] INFO  - Loading SeeInv v1.0
2019-12-24 22:33:10.482 [main] INFO  - Loading SRegionProtector v20.2
2019-12-24 22:33:10.550 [main] INFO  - Loading Trading_Interface v1.0.2
2019-12-24 22:33:10.591 [main] INFO  - Loading ChestShop v1.1.1
2019-12-24 22:33:10.607 [main] INFO  - Loading Holograms v3.1.3
2019-12-24 22:33:10.647 [main] INFO  - [Holograms] Loading characters...
2019-12-24 22:33:10.925 [main] INFO  - [Holograms] Loading config...
2019-12-24 22:33:10.959 [main] INFO  - [Holograms] Loading placeholders
2019-12-24 22:33:10.966 [main] INFO  - [Holograms] Registering default grid sources
2019-12-24 22:33:10.995 [main] INFO  - Loading Multipass v${pom.version}
2019-12-24 22:33:11.009 [main] INFO  - Loading MultiChat v1.0.2
2019-12-24 22:33:11.020 [main] INFO  - Enabling QuickSpawns v1.0
2019-12-24 22:33:11.024 [main] INFO  - [QuickSpawns] Enabling QuickSpawns..
2019-12-24 22:33:11.040 [main] INFO  - Enabling SRegionProtector v20.2
2019-12-24 22:33:11.184 [main] INFO  - [§eSRegionProtector§f] §aData provider was set to YAML
2019-12-24 22:33:11.537 [main] INFO  - [§eSRegionProtector§f] §aLoaded 3 regions and 96 chunks
2019-12-24 22:33:11.844 [main] INFO  - Enabling Holograms v3.1.3
2019-12-24 22:33:11.849 [main] INFO  - [Holograms] Loading grid config...
2019-12-24 22:33:11.864 [main] INFO  - [Holograms] Loading holograms
2019-12-24 22:33:12.187 [main] INFO  - Preparing level "§acruiser§f"
2019-12-24 22:33:12.284 [main] INFO  - Preparing level "§anether§f"
2019-12-24 22:33:12.293 [main] INFO  - Enabling AutoCleaner v1.0.1
2019-12-24 22:33:12.300 [main] INFO  - [AutoCleaner] §2Plugin by Extollite
